ID ,,  Year  ,       Award      ,Winner,      Name           Film        
330 , 1944 , Actress in a Leading Role , 1 , Ingrid Bergman , Gaslight
367 , 1945 , Actress in a Supporting Role , 0 , Joan Lorring , The Corn Is Green
363 , 1945 , Actress in a Leading Role , 0 , Gene Tierney , Leave Her to Heaven
353 , 1945 , Actor in a Leading Role , 0 , Gene Kelly , Anchors Aweigh
361 , 1945 , Actress in a Leading Role , 0 , Greer Garson , The Valley of Decision
348 , 1945 , Actor in a Leading Role , 1 , Ray Milland , The Lost Weekend
356 , 1945 , Actor in a Supporting Role , 0 , Michael Chekhov , Spellbound
354 , 1945 , Actor in a Leading Role , 0 , Gregory Peck , The Keys of the Kingdom
358 , 1945 , Actor in a Supporting Role , 0 , Robert Mitchum , G. I. Joe
364 , 1945 , Actress in a Supporting Role , 0 , Eve Arden , Mildred Pierce
355 , 1945 , Actor in a Leading Role , 0 , Cornel Wilde , A Song to Remember
351 , 1945 , Actress in a Supporting Role , 1 , Anne Revere , National Velvet
359 , 1945 , Actor in a Supporting Role , 0 , J. Carrol Naish , A Medal for Benny
350 , 1945 , Actress in a Leading Role , 1 , Joan Crawford , Mildred Pierce
360 , 1945 , Actress in a Leading Role , 0 , Ingrid Bergman , The Bells of St. Mary's
357 , 1945 , Actor in a Supporting Role , 0 , John Dall , The Corn Is Green
349 , 1945 , Actor in a Supporting Role , 1 , James Dunn , A Tree Grows in Brooklyn
352 , 1945 , Actor in a Leading Role , 0 , Bing Crosby , The Bells of St. Mary's
366 , 1945 , Actress in a Supporting Role , 0 , Angela Lansbury , The Picture of Dorian Gray
365 , 1945 , Actress in a Supporting Role , 0 , Ann Blyth , Mildred Pierce
362 , 1945 , Actress in a Leading Role , 0 , Jennifer Jones , Love Letters
383 , 1946 , Actress in a Leading Role , 0 , Jane Wyman , The Yearling
376 , 1946 , Actor in a Supporting Role , 0 , Charles Coburn , The Green Years
385 , 1946 , Actress in a Supporting Role , 0 , Lillian Gish , Duel in the Sun
378 , 1946 , Actor in a Supporting Role , 0 , Claude Rains , Notorious
371 , 1946 , Actress in a Supporting Role , 1 , Anne Baxter , The Razor's Edge
379 , 1946 , Actor in a Supporting Role , 0 , Clifton Webb , The Razor's Edge
384 , 1946 , Actress in a Supporting Role , 0 , Ethel Barrymore , The Spiral Staircase
372 , 1946 , Actor in a Leading Role , 0 , Laurence Olivier , Henry V
381 , 1946 , Actress in a Leading Role , 0 , Jennifer Jones , Duel in the Sun
387 , 1946 , Actress in a Supporting Role , 0 , Gale Sondergaard , Anna and the King of Siam
375 , 1946 , Actor in a Leading Role , 0 , James Stewart , It's a Wonderful Life
369 , 1946 , Actor in a Supporting Role , 1 , Harold Russell , The Best Years of Our Lives
368 , 1946 , Actor in a Leading Role , 1 , Fredric March , The Best Years of Our Lives
374 , 1946 , Actor in a Leading Role , 0 , Gregory Peck , The Yearling
373 , 1946 , Actor in a Leading Role , 0 , Larry Parks , The Jolson Story
370 , 1946 , Actress in a Leading Role , 1 , Olivia de Havilland , To Each His Own
377 , 1946 , Actor in a Supporting Role , 0 , William Demarest , The Jolson Story
380 , 1946 , Actress in a Leading Role , 0 , Celia Johnson , Brief Encounter
386 , 1946 , Actress in a Supporting Role , 0 , Flora Robson , Saratoga Trunk
382 , 1946 , Actress in a Leading Role , 0 , Rosalind Russell , Sister Kenny
394 , 1947 , Actor in a Leading Role , 0 , William Powell , Life with Father
388 , 1947 , Actor in a Leading Role , 1 , Ronald Colman , A Double Life
392 , 1947 , Actor in a Leading Role , 0 , John Garfield , Body and Soul
399 , 1947 , Actor in a Supporting Role , 0 , Richard Widmark , Kiss of Death
406 , 1947 , Actress in a Supporting Role , 0 , Marjorie Main , The Egg and I
401 , 1947 , Actress in a Leading Role , 0 , Susan Hayward , Smash-Up--The Story of a Woman
391 , 1947 , Actress in a Supporting Role , 1 , Celeste Holm , Gentleman's Agreement
393 , 1947 , Actor in a Leading Role , 0 , Gregory Peck , Gentleman's Agreement
404 , 1947 , Actress in a Supporting Role , 0 , Ethel Barrymore , The Paradine Case
398 , 1947 , Actor in a Supporting Role , 0 , Robert Ryan , Crossfire
403 , 1947 , Actress in a Leading Role , 0 , Rosalind Russell , Mourning Becomes Electra
407 , 1947 , Actress in a Supporting Role , 0 , Anne Revere , Gentleman's Agreement
396 , 1947 , Actor in a Supporting Role , 0 , Charles Bickford , The Farmer's Daughter
